match_id,participant_id,pc1,pc2,pc3
EUW1_7608915151,8,1.787113,0.429165,-0.824148
EUW1_7608915151,9,-0.397937,-0.762434,-0.715773
EUW1_7608915151,10,-2.527469,-1.372826,-0.655789
EUW1_7608922047,1,0.801016,1.632701,-2.376113
EUW1_7608922047,2,-1.104056,5.12537,-0.718729
EUW1_7608922047,3,0.029659,1.157303,-2.597337
EUW1_7608922047,4,-1.046567,1.391442,-2.947979
EUW1_7608922047,5,-3.645024,0.391056,-2.669949
EUW1_7608922047,6,0.930211,-1.445063,-0.38818
EUW1_7608922047,7,-2.333773,0.815721,0.783277
EUW1_7608922047,8,-0.552241,1.789801,-1.490825
EUW1_7608922047,9,-0.207946,1.064477,-2.036974
EUW1_7608922047,10,-2.392008,-0.94772,-1.28745
EUW1_7608926253,1,1.219696,-1.403479,0.77499
EUW1_7608926253,2,-0.512055,1.025683,2.292067
EUW1_7608926253,3,1.378795,0.233952,-0.769268
EUW1_7608926253,4,0.467254,-0.013161,-0.247006
EUW1_7608926253,5,-2.310063,-1.501848,-0.006739
EUW1_7608926253,6,3.244758,-0.439531,0.328844
EUW1_7608926253,7,-0.498107,-0.081928,3.129851
EUW1_7608926253,8,1.859254,-0.809774,-0.236621
EUW1_7608926253,9,0.200377,-0.629454,-0.615343
EUW1_7608926253,10,-1.884787,-2.245773,0.309682
EUW1_7608938405,1,1.27898,0.563941,-1.22676
EUW1_7608938405,2,-1.199699,3.939821,-0.070684
EUW1_7608938405,3,1.461851,-0.260203,-0.999586
EUW1_7608938405,4,0.134097,0.229718,-1.746975
EUW1_7608938405,5,-3.553702,-0.990575,-1.033874
EUW1_7608938405,6,1.643384,0.780353,-1.263257
EUW1_7608938405,7,-1.912172,5.892891,-1.013797
EUW1_7608938405,8,0.661554,0.34624,-1.700004
EUW1_7608938405,9,-0.527992,1.092862,-2.513127
EUW1_7608938405,10,-5.037201,0.367789,-2.827825
EUW1_7608939300,1,2.247579,1.351315,-0.667761
EUW1_7608939300,2,-0.389204,2.823469,2.715708
EUW1_7608939300,3,1.761233,0.169271,-1.131465
EUW1_7608939300,4,-1.033274,-0.638241,-0.908534
EUW1_7608939300,5,-1.917447,-2.243955,0.340876
EUW1_7608939300,6,2.137233,-1.377216,0.698098
EUW1_7608939300,7,-1.106225,0.259539,2.240132
EUW1_7608939300,8,2.261629,-1.092431,-0.365
EUW1_7608939300,9,0.882146,-0.058926,-0.47108
EUW1_7608939300,10,-1.685026,-1.626564,0.274082
EUW1_7608949162,1,1.550733,-0.944615,1.226019
EUW1_7608949162,2,-0.480667,0.788039,3.363761
EUW1_7608949162,3,2.28041,-1.381439,0.579351
EUW1_7608949162,4,0.495913,-0.594051,-0.141143
EUW1_7608949162,5,-0.566664,-0.369747,0.904691
EUW1_7608949162,6,3.347011,-0.539315,1.272308
EUW1_7608949162,7,0.195645,-0.258567,3.332602
EUW1_7608949162,8,1.834361,-1.666498,0.777812
EUW1_7608949162,9,-0.868377,-2.994355,0.796322
EUW1_7608949162,10,-1.410644,-2.992724,1.529035
EUW1_7608953089,1,1.496672,-0.967519,-0.071934
EUW1_7608953089,2,-1.41749,1.819404,1.913688
EUW1_7608953089,3,1.209276,0.75407,-0.847857
EUW1_7608953089,4,-0.000184,-1.61294,0.057512
EUW1_7608953089,5,-1.808841,-0.52576,0.278533
EUW1_7608953089,6,1.369903,0.416058,-0.198201
EUW1_7608953089,7,-0.815015,3.034192,1.029604
EUW1_7608953089,8,-0.115309,0.389781,-1.141388
EUW1_7608953089,9,-1.195236,0.260095,-1.514308
EUW1_7608953089,10,-2.711418,-0.189009,-0.855278
EUW1_7608955244,1,2.960204,0.714496,0.038703
EUW1_7608955244,2,0.263873,1.767467,1.818696
EUW1_7608955244,3,2.105503,-0.920708,0.074426
EUW1_7608955244,4,0.474281,-0.860485,-0.106514
EUW1_7608955244,5,-2.330415,-1.350621,-0.550086
EUW1_7608955244,6,1.719005,-0.797645,0.430351
EUW1_7608955244,7,-1.579356,2.288626,0.496482
EUW1_7608955244,8,2.407715,-0.277392,-0.603707
EUW1_7608955244,9,0.153694,1.412872,-1.4936
EUW1_7608955244,10,-2.692663,0.18902,-1.233326
EUW1_7608956143,1,1.161643,-1.182677,0.402877
EUW1_7608956143,2,-2.546278,1.426282,1.067296
EUW1_7608956143,3,0.086644,-1.132841,-0.143071
